"employee_scd_id";"employee_id";"year";"status";"country";"department";"date_situation";"seniority_group"
202300001;1;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"10-15 years"
202300002;2;2023;"Non-manager";"Denmark";"Finance & Operations";"2023-12-15";"Less than 1 year"
202300003;3;2023;"Manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"Less than 1 year"
202300004;4;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300005;5;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"10-15 years"
202300006;6;2023;"Non-manager";"Sweden";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300007;7;2023;"Manager";"Sweden";"Sales & Business Development";"2023-12-15";"3-5 years"
202300008;8;2023;"Manager";"Sweden";"Customer Experience & Design";"2023-12-15";"Less than 1 year"
202300009;9;2023;"Manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300010;10;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"Less than 1 year"
202300011;11;2023;"Manager";"Germany";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300012;12;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"3-5 years"
202300013;13;2023;"Manager";"Spain";"Customer Experience & Design";"2023-12-15";"6-9 years"
202300014;14;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"Less than 1 year"
202300015;15;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300016;16;2023;"Non-manager";"Sweden";"Sales & Business Development";"2023-12-15";"6-9 years"
202300017;17;2023;"Manager";"Sweden";"Finance & Operations";"2023-12-15";"10-15 years"
202300018;18;2023;"Non-manager";"Germany";"Technology & IT Strategy";"2023-12-15";"1-2 years"
202300019;19;2023;"Manager";"Spain";"Technology & IT Strategy";"2023-12-15";"10-15 years"
202300020;20;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"10-15 years"
202300021;21;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300022;22;2023;"Manager";"Sweden";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300023;23;2023;"Non-manager";"Germany";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300024;24;2023;"Non-manager";"Germany";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300025;25;2023;"Manager";"Denmark";"Finance & Operations";"2023-12-15";"1-2 years"
202300026;26;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"1-2 years"
202300027;27;2023;"Manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300028;28;2023;"Non-manager";"Denmark";"Transformation & Change Management";"2023-12-15";"Less than 1 year"
202300029;29;2023;"Non-manager";"Spain";"Human Resources";"2023-12-15";"10-15 years"
202300030;30;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300031;31;2023;"Non-manager";"France";"Customer Experience & Design";"2023-12-15";"1-2 years"
202300032;32;2023;"Non-manager";"Germany";"Customer Experience & Design";"2023-12-15";"1-2 years"
202300033;33;2023;"Non-manager";"Denmark";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300034;34;2023;"Non-manager";"Denmark";"Sales & Business Development";"2023-12-15";"3-5 years"
202300035;35;2023;"Non-manager";"France";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300036;36;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"10-15 years"
202300037;37;2023;"Non-manager";"Germany";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300038;38;2023;"Non-manager";"Denmark";"Finance & Operations";"2023-12-15";"1-2 years"
202300039;39;2023;"Non-manager";"Germany";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300040;40;2023;"Non-manager";"Spain";"Digital Strategy Consulting";"2023-12-15";"6-9 years"
202300041;41;2023;"Non-manager";"Germany";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300042;42;2023;"Non-manager";"Spain";"Technology & IT Strategy";"2023-12-15";"1-2 years"
202300043;43;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300044;44;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300045;45;2023;"Non-manager";"Denmark";"Finance & Operations";"2023-12-15";"1-2 years"
202300046;46;2023;"Non-manager";"Germany";"Technology & IT Strategy";"2023-12-15";"1-2 years"
202300047;47;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"6-9 years"
202300048;48;2023;"Non-manager";"Germany";"Data & Analytics Consulting";"2023-12-15";"Less than 1 year"
202300049;49;2023;"Non-manager";"Spain";"Technology & IT Strategy";"2023-12-15";"10-15 years"
202300050;50;2023;"Non-manager";"France";"Human Resources";"2023-12-15";"3-5 years"
202300051;51;2023;"Non-manager";"Germany";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300052;52;2023;"Manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"1-2 years"
202300053;53;2023;"Manager";"Sweden";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300054;54;2023;"Non-manager";"Germany";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300055;55;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
