employee_scd_id,employee_id,year,status,country,department,last_promotion_date,last_training_date,absenteeism_days,annual_salary,remote_days,last_promotion_range,age_group
202300001,1,2023,Non-manager,Sweden,Digital Strategy Consulting,2015-06-30,2023-04-11,2,92800,112,6–10 years,50–59
202300002,2,2023,Non-manager,Denmark,Finance & Operations,,,5,42000,126,Not available,30–39
202300003,3,2023,Manager,Sweden,Technology & IT Strategy,,2023-11-13,5,71100,102,Not available,30–39
202300004,4,2023,Non-manager,Sweden,Transformation & Change Management,,2021-09-24,4,66500,117,Not available,30–39
202300005,5,2023,Non-manager,Sweden,Digital Strategy Consulting,,,7,90300,120,Not available,40–49
202300006,6,2023,Non-manager,Sweden,Digital Marketing & Growth,2022-05-10,2023-03-29,5,43100,124,1–2 years,30–39
202300007,7,2023,Manager,Sweden,Sales & Business Development,2020-11-05,,8,85300,79,3–5 years,Under 30
202300008,8,2023,Manager,Sweden,Customer Experience & Design,,2023-12-22,3,62700,109,Not available,Under 30
202300009,9,2023,Manager,Sweden,Digital Strategy Consulting,2020-11-05,2021-11-07,8,92200,77,3–5 years,Under 30
202300010,10,2023,Non-manager,Sweden,Transformation & Change Management,,,3,31900,151,Not available,Under 30
202300011,11,2023,Manager,Germany,Transformation & Change Management,2023-09-21,2022-06-19,7,86900,126,Less than 1 year,30–39
202300012,12,2023,Non-manager,Sweden,Finance & Operations,2020-03-21,2021-11-05,2,57300,83,3–5 years,Under 30
202300013,13,2023,Manager,Spain,Customer Experience & Design,2020-09-11,2021-11-30,5,65400,89,3–5 years,30–39
202300014,14,2023,Non-manager,Sweden,Technology & IT Strategy,,2023-12-02,3,36600,116,Not available,Under 30
202300015,15,2023,Non-manager,Sweden,Transformation & Change Management,2022-01-04,2021-06-05,7,56000,109,1–2 years,Under 30
202300016,16,2023,Non-manager,Sweden,Sales & Business Development,,,4,80100,102,Not available,40–49
202300017,17,2023,Manager,Sweden,Finance & Operations,,,11,126200,89,Not available,50–59
202300018,18,2023,Non-manager,Germany,Technology & IT Strategy,2022-08-30,2022-12-11,8,39800,95,1–2 years,Under 30
202300019,19,2023,Manager,Spain,Technology & IT Strategy,2016-08-12,2023-02-18,3,107400,91,6–10 years,40–49
202300020,20,2023,Non-manager,Sweden,Transformation & Change Management,2018-05-15,,4,83300,157,3–5 years,40–49
202300021,21,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-05-07,2022-12-29,10,51100,136,Less than 1 year,Under 30
202300022,22,2023,Manager,Sweden,Transformation & Change Management,2020-05-27,2022-08-19,5,91100,97,3–5 years,30–39
202300023,23,2023,Non-manager,Germany,Data & Analytics Consulting,2023-07-23,2021-02-14,5,57500,100,Less than 1 year,30–39
202300024,24,2023,Non-manager,Germany,Transformation & Change Management,2023-07-04,2021-07-01,1,47200,101,Less than 1 year,40–49
202300025,25,2023,Manager,Denmark,Finance & Operations,,2022-08-29,3,85200,101,Not available,30–39
202300026,26,2023,Non-manager,Sweden,Finance & Operations,2021-09-09,,3,46000,87,1–2 years,30–39
202300027,27,2023,Manager,Sweden,Technology & IT Strategy,,2022-04-01,6,91500,113,Not available,Under 30
202300028,28,2023,Non-manager,Denmark,Transformation & Change Management,2023-11-01,2023-12-09,5,38000,114,Less than 1 year,Under 30
202300029,29,2023,Non-manager,Spain,Human Resources,,2022-05-28,9,57200,90,Not available,30–39
202300030,30,2023,Manager,Sweden,Data & Analytics Consulting,2023-01-21,2023-03-05,6,67600,92,Less than 1 year,Under 30
202300031,31,2023,Non-manager,France,Customer Experience & Design,2022-08-07,2023-03-06,3,36200,96,1–2 years,Under 30
202300032,32,2023,Non-manager,Germany,Customer Experience & Design,2022-02-10,2022-10-18,8,43200,124,1–2 years,30–39
202300033,33,2023,Non-manager,Denmark,Digital Strategy Consulting,2021-06-07,,6,71500,96,1–2 years,40–49
202300034,34,2023,Non-manager,Denmark,Sales & Business Development,,2021-12-20,4,70900,81,Not available,30–39
202300035,35,2023,Non-manager,France,Digital Strategy Consulting,2022-05-27,2023-11-06,5,40000,111,1–2 years,30–39
202300036,36,2023,Non-manager,Sweden,Finance & Operations,,2023-04-15,5,76500,111,Not available,30–39
202300037,37,2023,Non-manager,Germany,Data & Analytics Consulting,,2023-01-05,3,42500,109,Not available,30–39
202300038,38,2023,Non-manager,Denmark,Finance & Operations,2022-05-19,,10,54500,118,1–2 years,30–39
202300039,39,2023,Non-manager,Germany,Digital Strategy Consulting,2023-03-27,,6,36600,105,Less than 1 year,30–39
202300040,40,2023,Non-manager,Spain,Digital Strategy Consulting,2018-05-29,2022-07-03,5,54500,106,3–5 years,30–39
202300041,41,2023,Non-manager,Germany,Digital Marketing & Growth,2023-11-21,2023-01-14,2,43800,130,Less than 1 year,30–39
